@timestamp,system.auth.ssh.event,system.auth.ssh.method,user.name,source.ip,source.geo.country_iso_code
"Jul 24, 2023 @ 20:04:09.000",Failed,password,root,218.92.0.76,CN
"Jul 24, 2023 @ 20:04:05.000",Failed,password,root,218.92.0.76,CN
"Jul 24, 2023 @ 19:57:53.000",Failed,password, user,170.64.150.26,AU
"Jul 24, 2023 @ 19:57:51.000",Invalid,-,user,170.64.150.26,AU
"Jul 24, 2023 @ 19:57:35.000",Failed,password, amandabackup,170.64.150.26,AU
"Jul 24, 2023 @ 19:57:33.000",Invalid,-,amandabackup,170.64.150.26,AU
"Jul 24, 2023 @ 19:57:18.000",Failed,password,root,170.64.150.26,AU
"Jul 24, 2023 @ 19:57:14.000",Failed,password,root,218.92.0.31,CN
"Jul 24, 2023 @ 19:57:11.000",Failed,password,root,218.92.0.31,CN
"Jul 24, 2023 @ 19:57:06.000",Failed,password,root,218.92.0.31,CN
"Jul 24, 2023 @ 19:57:02.000",Failed,password,root,218.92.0.31,CN
"Jul 24, 2023 @ 19:57:00.000",Failed,password,mysql,170.64.150.26,AU
"Jul 24, 2023 @ 19:56:59.000",Failed,password,root,218.92.0.31,CN
"Jul 24, 2023 @ 19:46:43.000",Failed,password, user1,170.64.150.26,AU
"Jul 24, 2023 @ 19:46:41.000",Invalid,-,user1,170.64.150.26,AU
"Jul 24, 2023 @ 19:46:26.000",Failed,password, dolphin,170.64.150.26,AU
"Jul 24, 2023 @ 19:46:23.000",Invalid,-,dolphin,170.64.150.26,AU
"Jul 24, 2023 @ 19:43:02.000",Failed,password,root,218.92.0.56,CN
"Jul 24, 2023 @ 19:42:59.000",Failed,password,root,218.92.0.56,CN
"Jul 24, 2023 @ 19:42:54.000",Failed,password,root,218.92.0.56,CN
"Jul 24, 2023 @ 19:42:50.000",Failed,password,root,218.92.0.56,CN
"Jul 24, 2023 @ 19:42:47.000",Failed,password,root,218.92.0.56,CN
"Jul 24, 2023 @ 19:42:39.000",Failed,password,root,218.92.0.22,CN
"Jul 24, 2023 @ 19:42:36.000",Failed,password,root,218.92.0.22,CN
"Jul 24, 2023 @ 19:42:29.000",Failed,password,root,218.92.0.22,CN
"Jul 24, 2023 @ 19:42:27.000",Failed,password,root,218.92.0.22,CN
"Jul 24, 2023 @ 19:42:23.000",Failed,password,root,218.92.0.22,CN
"Jul 24, 2023 @ 19:36:26.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 19:36:22.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 19:36:16.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 19:36:12.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 19:36:11.000",Failed,password, mapr,170.64.150.26,AU
"Jul 24, 2023 @ 19:36:09.000",Invalid,-,mapr,170.64.150.26,AU
"Jul 24, 2023 @ 19:36:09.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 19:35:53.000",Failed,password, oscar,170.64.150.26,AU
"Jul 24, 2023 @ 19:35:51.000",Invalid,-,oscar,170.64.150.26,AU
"Jul 24, 2023 @ 19:35:35.000",Failed,password, oracle,170.64.150.26,AU
"Jul 24, 2023 @ 19:35:32.000",Invalid,-,oracle,170.64.150.26,AU
"Jul 24, 2023 @ 19:26:38.000",Failed,password, anna,67.205.182.19,US
"Jul 24, 2023 @ 19:26:36.000",Invalid,-,anna,67.205.182.19,US
"Jul 24, 2023 @ 19:25:19.000",Failed,password, omsagent,170.64.150.26,AU
"Jul 24, 2023 @ 19:25:17.000",Invalid,-,omsagent,170.64.150.26,AU
"Jul 24, 2023 @ 19:24:59.000",Failed,password,uucp,170.64.150.26,AU
"Jul 24, 2023 @ 19:24:38.000",Failed,password,uucp,170.64.150.26,AU
"Jul 24, 2023 @ 19:24:35.000",Failed,password,root,180.101.88.247,CN
"Jul 24, 2023 @ 19:24:31.000",Failed,password,root,180.101.88.247,CN
"Jul 24, 2023 @ 19:24:27.000",Failed,password,root,180.101.88.247,CN
"Jul 24, 2023 @ 19:24:23.000",Failed,password,root,180.101.88.247,CN
"Jul 24, 2023 @ 19:24:19.000",Failed,password,root,180.101.88.247,CN
"Jul 24, 2023 @ 19:24:18.000",Failed,password,root,170.64.150.26,AU
"Jul 24, 2023 @ 19:21:45.000",Failed,password,root,218.92.0.76,CN
"Jul 24, 2023 @ 19:21:42.000",Failed,password,root,218.92.0.76,CN
"Jul 24, 2023 @ 19:21:38.000",Failed,password,root,218.92.0.76,CN
"Jul 24, 2023 @ 19:21:35.000",Failed,password,root,218.92.0.76,CN
"Jul 24, 2023 @ 19:21:32.000",Failed,password,root,218.92.0.76,CN
"Jul 24, 2023 @ 19:21:03.000",Failed,password, boris,67.205.182.19,US
"Jul 24, 2023 @ 19:21:01.000",Invalid,-,boris,67.205.182.19,US
"Jul 24, 2023 @ 19:15:29.000",Failed,password,root,67.205.182.19,US
"Jul 24, 2023 @ 19:05:25.000",Failed,password,root,61.177.172.185,CN
"Jul 24, 2023 @ 19:05:22.000",Failed,password,root,61.177.172.185,CN
"Jul 24, 2023 @ 19:05:17.000",Failed,password,root,61.177.172.185,CN
"Jul 24, 2023 @ 19:05:12.000",Failed,password,root,61.177.172.185,CN
"Jul 24, 2023 @ 19:05:10.000",Failed,password,root,61.177.172.185,CN
"Jul 24, 2023 @ 19:00:41.000",Failed,password,root,180.101.88.247,CN
"Jul 24, 2023 @ 19:00:38.000",Failed,password,root,180.101.88.247,CN
"Jul 24, 2023 @ 19:00:31.000",Failed,password,root,180.101.88.247,CN
"Jul 24, 2023 @ 19:00:27.000",Failed,password,root,180.101.88.247,CN
"Jul 24, 2023 @ 19:00:24.000",Failed,password,root,180.101.88.247,CN
"Jul 24, 2023 @ 18:59:32.000",Failed,password,root,218.92.0.76,CN
"Jul 24, 2023 @ 18:59:29.000",Failed,password,root,218.92.0.76,CN
"Jul 24, 2023 @ 18:59:24.000",Failed,password,root,218.92.0.76,CN
"Jul 24, 2023 @ 18:59:21.000",Failed,password,root,218.92.0.76,CN
"Jul 24, 2023 @ 18:59:17.000",Failed,password,root,218.92.0.76,CN
